Transaction ID,Account ID,Date,Amount,Category,Merchant,Description
tx-2025-09-06-0193,1,2025-09-06,-41.00,Dining,Au Cheval,Burger night
tx-2025-09-08-0037,1,2025-09-08,-78.50,Groceries,Mariano's,Weekly groceries
tx-2025-09-10-0036,1,2025-09-10,-583.33,Retirement,Fidelity,Roth IRA contribution
tx-2025-09-12-0039,1,2025-09-12,-67.40,Dining,Girl & the Goat,Dinner out
tx-2025-09-15-0031,1,2025-09-15,4166.67,Salary,Employer,September paycheck
tx-2025-09-15-0034,1,2025-09-15,-89.99,Fitness,Equinox,Monthly membership
tx-2025-09-18-0041,1,2025-09-18,-55.00,Utilities,Xfinity,Internet
tx-2025-09-20-0040,1,2025-09-20,-120.00,Dining,Alinea,Special dinner
tx-2025-09-22-0038,1,2025-09-22,-62.30,Groceries,Trader Joe's,Weekly groceries
tx-2025-09-25-0035,1,2025-09-25,-571.43,Debt Payment,Student Loans,September loan payment
tx-2025-09-27-0175,1,2025-09-27,-400.00,Savings,Ally Bank,Home down payment fund
tx-2025-09-27-0176,2,2025-09-27,400.00,Savings,Chase,Transfer from checking
tx-2025-09-28-0042,2,2025-09-28,14.67,Interest,Ally Bank,Monthly interest
tx-2025-10-01-0043,1,2025-10-01,4166.67,Salary,Employer,October paycheck
tx-2025-10-02-0045,1,2025-10-02,-1650.00,Rent,Chicago Property Mgmt,October rent
tx-2025-10-05-0046,1,2025-10-05,-105.00,Transportation,CTA,Monthly pass
tx-2025-10-07-0189,1,2025-10-07,-156.40,Shopping,Amazon,Home office gear
tx-2025-10-08-0050,1,2025-10-08,-92.15,Groceries,Mariano's,Weekly groceries
tx-2025-10-10-0049,1,2025-10-10,-583.33,Retirement,Fidelity,Roth IRA contribution
tx-2025-10-12-0052,1,2025-10-12,-45.00,Dining,Portillo's,Lunch with friends
tx-2025-10-15-0044,1,2025-10-15,4166.67,Salary,Employer,October paycheck
tx-2025-10-15-0047,1,2025-10-15,-89.99,Fitness,Equinox,Monthly membership
tx-2025-10-18-0054,1,2025-10-18,-14.99,Utilities,Spotify,Music subscription
tx-2025-10-20-0053,1,2025-10-20,-38.50,Dining,Sweetgreen,Lunches
tx-2025-10-22-0051,1,2025-10-22,-71.80,Groceries,Trader Joe's,Weekly groceries
tx-2025-10-25-0048,1,2025-10-25,-571.43,Debt Payment,Student Loans,October loan payment
tx-2025-10-28-0056,1,2025-10-28,-300.00,Transfer,Fidelity,Brokerage funding
tx-2025-10-28-0055,2,2025-10-28,14.67,Interest,Ally Bank,Monthly interest
tx-2025-10-28-0057,3,2025-10-28,-300.00,Investment,Fidelity,MSFT purchase
tx-2025-10-28-0058,3,2025-10-28,42.50,Dividend,Vanguard,VOO quarterly dividend
tx-2025-11-01-0059,1,2025-11-01,4166.67,Salary,Employer,November paycheck
tx-2025-11-02-0061,1,2025-11-02,-1650.00,Rent,Chicago Property Mgmt,November rent
tx-2025-11-05-0062,1,2025-11-05,-105.00,Transportation,CTA,Monthly pass
tx-2025-11-08-0066,1,2025-11-08,-78.50,Groceries,Mariano's,Weekly groceries
tx-2025-11-10-0065,1,2025-11-10,-583.33,Retirement,Fidelity,Roth IRA contribution
tx-2025-11-12-0068,1,2025-11-12,-52.00,Dining,Big Star,Tacos and drinks
tx-2025-11-14-0185,1,2025-11-14,-189.00,Professional,LinkedIn,Premium for AE job search
tx-2025-11-15-0060,1,2025-11-15,4166.67,Salary,Employer,November paycheck
tx-2025-11-15-0063,1,2025-11-15,-89.99,Fitness,Equinox,Monthly membership
tx-2025-11-18-0070,1,2025-11-18,-15.99,Utilities,Netflix,Streaming
tx-2025-11-20-0069,1,2025-11-20,-28.75,Dining,Intelligentsia,Coffee and pastry
tx-2025-11-22-0067,1,2025-11-22,-62.30,Groceries,Trader Joe's,Weekly groceries
tx-2025-11-22-0194,1,2025-11-22,-18.75,Transportation,Uber,Late ride home
tx-2025-11-25-0064,1,2025-11-25,-571.43,Debt Payment,Student Loans,November loan payment
tx-2025-11-28-0071,2,2025-11-28,14.67,Interest,Ally Bank,Monthly interest
tx-2025-12-01-0072,1,2025-12-01,4166.67,Salary,Employer,December paycheck
tx-2025-12-02-0074,1,2025-12-02,-1650.00,Rent,Chicago Property Mgmt,December rent
tx-2025-12-05-0075,1,2025-12-05,-105.00,Transportation,CTA,Monthly pass
tx-2025-12-08-0079,1,2025-12-08,-92.15,Groceries,Mariano's,Weekly groceries
tx-2025-12-10-0078,1,2025-12-10,-583.33,Retirement,Fidelity,Roth IRA contribution
tx-2025-12-12-0081,1,2025-12-12,-67.40,Dining,Girl & the Goat,Dinner out
tx-2025-12-15-0073,1,2025-12-15,4166.67,Salary,Employer,December paycheck
tx-2025-12-15-0076,1,2025-12-15,-89.99,Fitness,Equinox,Monthly membership
tx-2025-12-18-0083,1,2025-12-18,-84.30,Utilities,ComEd,Electric bill
tx-2025-12-20-0082,1,2025-12-20,-120.00,Dining,Alinea,Special dinner
tx-2025-12-20-0183,1,2025-12-20,6250.00,Salary,Employer,Year-end variable bonus
tx-2025-12-22-0080,1,2025-12-22,-71.80,Groceries,Trader Joe's,Weekly groceries
tx-2025-12-25-0077,1,2025-12-25,-571.43,Debt Payment,Student Loans,December loan payment
tx-2025-12-27-0177,1,2025-12-27,-400.00,Savings,Ally Bank,Home down payment fund
tx-2025-12-27-0178,2,2025-12-27,400.00,Savings,Chase,Transfer from checking
tx-2025-12-28-0085,1,2025-12-28,-250.00,Transfer,Fidelity,Brokerage funding
tx-2025-12-28-0084,2,2025-12-28,14.67,Interest,Ally Bank,Monthly interest
tx-2025-12-28-0086,3,2025-12-28,-250.00,Investment,Fidelity,CRM purchase
tx-2025-12-28-0087,3,2025-12-28,42.50,Dividend,Vanguard,VOO quarterly dividend
tx-2026-01-01-0088,1,2026-01-01,4166.67,Salary,Employer,January paycheck
tx-2026-01-02-0090,1,2026-01-02,-1650.00,Rent,Chicago Property Mgmt,January rent
tx-2026-01-05-0091,1,2026-01-05,-105.00,Transportation,CTA,Monthly pass
tx-2026-01-08-0095,1,2026-01-08,-78.50,Groceries,Mariano's,Weekly groceries
tx-2026-01-10-0094,1,2026-01-10,-583.33,Retirement,Fidelity,Roth IRA contribution
tx-2026-01-11-0190,1,2026-01-11,-35.00,Healthcare,CVS,Pharmacy copay
tx-2026-01-12-0097,1,2026-01-12,-45.00,Dining,Portillo's,Lunch with friends
tx-2026-01-15-0089,1,2026-01-15,4166.67,Salary,Employer,January paycheck
tx-2026-01-15-0092,1,2026-01-15,-89.99,Fitness,Equinox,Monthly membership
tx-2026-01-18-0099,1,2026-01-18,-42.15,Utilities,Peoples Gas,Gas bill
tx-2026-01-20-0098,1,2026-01-20,-38.50,Dining,Sweetgreen,Lunches
tx-2026-01-22-0096,1,2026-01-22,-62.30,Groceries,Trader Joe's,Weekly groceries
tx-2026-01-25-0093,1,2026-01-25,-571.43,Debt Payment,Student Loans,January loan payment
tx-2026-01-28-0100,2,2026-01-28,14.67,Interest,Ally Bank,Monthly interest
tx-2026-02-01-0101,1,2026-02-01,4166.67,Salary,Employer,February paycheck
tx-2026-02-02-0103,1,2026-02-02,-1650.00,Rent,Chicago Property Mgmt,February rent
tx-2026-02-05-0104,1,2026-02-05,-105.00,Transportation,CTA,Monthly pass
tx-2026-02-06-0186,1,2026-02-06,-45.00,Professional,Blue Bottle,Coffee chat with AE recruiter
tx-2026-02-08-0108,1,2026-02-08,-92.15,Groceries,Mariano's,Weekly groceries
tx-2026-02-10-0107,1,2026-02-10,-583.33,Retirement,Fidelity,Roth IRA contribution
tx-2026-02-12-0110,1,2026-02-12,-52.00,Dining,Big Star,Tacos and drinks
tx-2026-02-14-0195,1,2026-02-14,-86.00,Dining,Monteverde,Valentine's dinner
tx-2026-02-15-0102,1,2026-02-15,4166.67,Salary,Employer,February paycheck
tx-2026-02-15-0105,1,2026-02-15,-89.99,Fitness,Equinox,Monthly membership
tx-2026-02-18-0112,1,2026-02-18,-55.00,Utilities,Xfinity,Internet
tx-2026-02-20-0111,1,2026-02-20,-28.75,Dining,Intelligentsia,Coffee and pastry
tx-2026-02-22-0109,1,2026-02-22,-71.80,Groceries,Trader Joe's,Weekly groceries
tx-2026-02-25-0106,1,2026-02-25,-571.43,Debt Payment,Student Loans,February loan payment
tx-2026-02-28-0114,1,2026-02-28,-500.00,Transfer,Fidelity,Brokerage funding
tx-2026-02-28-0113,2,2026-02-28,14.67,Interest,Ally Bank,Monthly interest
tx-2026-02-28-0115,3,2026-02-28,-500.00,Investment,Fidelity,VOO purchase
tx-2026-02-28-0116,3,2026-02-28,42.50,Dividend,Vanguard,VOO quarterly dividend
tx-2026-03-01-0117,1,2026-03-01,4166.67,Salary,Employer,March paycheck
tx-2026-03-02-0119,1,2026-03-02,-1650.00,Rent,Chicago Property Mgmt,March rent
tx-2026-03-05-0120,1,2026-03-05,-105.00,Transportation,CTA,Monthly pass
tx-2026-03-08-0124,1,2026-03-08,-78.50,Groceries,Mariano's,Weekly groceries
tx-2026-03-10-0123,1,2026-03-10,-583.33,Retirement,Fidelity,Roth IRA contribution
tx-2026-03-12-0126,1,2026-03-12,-67.40,Dining,Girl & the Goat,Dinner out
tx-2026-03-15-0118,1,2026-03-15,4166.67,Salary,Employer,March paycheck
tx-2026-03-15-0121,1,2026-03-15,-89.99,Fitness,Equinox,Monthly membership
tx-2026-03-15-0196,1,2026-03-15,-129.99,Shopping,Nike,Running shoes
tx-2026-03-18-0128,1,2026-03-18,-14.99,Utilities,Spotify,Music subscription
tx-2026-03-20-0127,1,2026-03-20,-120.00,Dining,Alinea,Special dinner
tx-2026-03-22-0125,1,2026-03-22,-62.30,Groceries,Trader Joe's,Weekly groceries
tx-2026-03-25-0122,1,2026-03-25,-571.43,Debt Payment,Student Loans,March loan payment
tx-2026-03-27-0179,1,2026-03-27,-400.00,Savings,Ally Bank,Home down payment fund
tx-2026-03-27-0180,2,2026-03-27,400.00,Savings,Chase,Transfer from checking
tx-2026-03-28-0129,2,2026-03-28,14.67,Interest,Ally Bank,Monthly interest
tx-2026-04-01-0130,1,2026-04-01,4166.67,Salary,Employer,April paycheck
tx-2026-04-02-0132,1,2026-04-02,-1650.00,Rent,Chicago Property Mgmt,April rent
tx-2026-04-03-0187,1,2026-04-03,-120.00,Professional,Industrious,Coworking day for interviews
tx-2026-04-05-0133,1,2026-04-05,-105.00,Transportation,CTA,Monthly pass
tx-2026-04-08-0137,1,2026-04-08,-92.15,Groceries,Mariano's,Weekly groceries
tx-2026-04-10-0136,1,2026-04-10,-583.33,Retirement,Fidelity,Roth IRA contribution
tx-2026-04-12-0139,1,2026-04-12,-45.00,Dining,Portillo's,Lunch with friends
tx-2026-04-15-0131,1,2026-04-15,4166.67,Salary,Employer,April paycheck
tx-2026-04-15-0134,1,2026-04-15,-89.99,Fitness,Equinox,Monthly membership
tx-2026-04-18-0141,1,2026-04-18,-15.99,Utilities,Netflix,Streaming
tx-2026-04-19-0197,1,2026-04-19,-22.40,Transportation,Lyft,Ride to interview
tx-2026-04-20-0140,1,2026-04-20,-38.50,Dining,Sweetgreen,Lunches
tx-2026-04-22-0138,1,2026-04-22,-71.80,Groceries,Trader Joe's,Weekly groceries
tx-2026-04-25-0135,1,2026-04-25,-571.43,Debt Payment,Student Loans,April loan payment
tx-2026-04-28-0143,1,2026-04-28,-300.00,Transfer,Fidelity,Brokerage funding
tx-2026-04-28-0142,2,2026-04-28,14.67,Interest,Ally Bank,Monthly interest
tx-2026-04-28-0144,3,2026-04-28,-300.00,Investment,Fidelity,MSFT purchase
tx-2026-04-28-0145,3,2026-04-28,42.50,Dividend,Vanguard,VOO quarterly dividend
tx-2026-05-01-0146,1,2026-05-01,4166.67,Salary,Employer,May paycheck
tx-2026-05-02-0148,1,2026-05-02,-1650.00,Rent,Chicago Property Mgmt,May rent
tx-2026-05-04-0191,1,2026-05-04,-72.00,Entertainment,Steppenwolf,Theater tickets
tx-2026-05-05-0149,1,2026-05-05,-105.00,Transportation,CTA,Monthly pass
tx-2026-05-08-0153,1,2026-05-08,-78.50,Groceries,Mariano's,Weekly groceries
tx-2026-05-10-0152,1,2026-05-10,-583.33,Retirement,Fidelity,Roth IRA contribution
tx-2026-05-12-0155,1,2026-05-12,-52.00,Dining,Big Star,Tacos and drinks
tx-2026-05-15-0147,1,2026-05-15,4166.67,Salary,Employer,May paycheck
tx-2026-05-15-0150,1,2026-05-15,-89.99,Fitness,Equinox,Monthly membership
tx-2026-05-18-0157,1,2026-05-18,-84.30,Utilities,ComEd,Electric bill
tx-2026-05-20-0156,1,2026-05-20,-28.75,Dining,Intelligentsia,Coffee and pastry
tx-2026-05-22-0154,1,2026-05-22,-62.30,Groceries,Trader Joe's,Weekly groceries
tx-2026-05-25-0151,1,2026-05-25,-571.43,Debt Payment,Student Loans,May loan payment
tx-2026-05-28-0158,2,2026-05-28,14.67,Interest,Ally Bank,Monthly interest
tx-2026-06-01-0159,1,2026-06-01,4166.67,Salary,Employer,June paycheck
tx-2026-06-02-0161,1,2026-06-02,-1650.00,Rent,Chicago Property Mgmt,June rent
tx-2026-06-05-0162,1,2026-06-05,-105.00,Transportation,CTA,Monthly pass
tx-2026-06-08-0166,1,2026-06-08,-92.15,Groceries,Mariano's,Weekly groceries
tx-2026-06-10-0165,1,2026-06-10,-583.33,Retirement,Fidelity,Roth IRA contribution
tx-2026-06-12-0168,1,2026-06-12,-67.40,Dining,Girl & the Goat,Dinner out
tx-2026-06-15-0160,1,2026-06-15,4166.67,Salary,Employer,June paycheck
tx-2026-06-15-0163,1,2026-06-15,-89.99,Fitness,Equinox,Monthly membership
tx-2026-06-18-0170,1,2026-06-18,-42.15,Utilities,Peoples Gas,Gas bill
tx-2026-06-20-0169,1,2026-06-20,-120.00,Dining,Alinea,Special dinner
tx-2026-06-20-0184,1,2026-06-20,3125.00,Salary,Employer,Mid-year commission payout
tx-2026-06-22-0167,1,2026-06-22,-71.80,Groceries,Trader Joe's,Weekly groceries
tx-2026-06-25-0164,1,2026-06-25,-571.43,Debt Payment,Student Loans,June loan payment
tx-2026-06-27-0181,1,2026-06-27,-400.00,Savings,Ally Bank,Home down payment fund
tx-2026-06-27-0182,2,2026-06-27,400.00,Savings,Chase,Transfer from checking
tx-2026-06-28-0172,1,2026-06-28,-250.00,Transfer,Fidelity,Brokerage funding
tx-2026-06-28-0171,2,2026-06-28,14.67,Interest,Ally Bank,Monthly interest
tx-2026-06-28-0173,3,2026-06-28,-250.00,Investment,Fidelity,CRM purchase
tx-2026-06-28-0174,3,2026-06-28,42.50,Dividend,Vanguard,VOO quarterly dividend
